z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.3792860371778454,0.0,300.0,1.1225173843895584,1.1999168363580842e-12,6.811515406049903e-16,7.266758341141518e-16,0.19011406844083623,3.941878288777162e-15,-4.2663595925089443e-16,3.3225380123522935e-16,2.7380940576347523e-16,-1.2915095041334908e-15,-5.720265721010977e-31,-2.4750181771371267e-16,-1.1262600536041087e-28,1.8213730841900257e-15,0.09505703422041253,3.245946972046524e-16,-9.513031513608314e-18,2.721739253538642e-21,-5.482053114776016e-17,6.992561183076663e-30,-8.407635955548541e-25,-1.922907232954082e-16,2.2130605807758293e-15,1.738617347398883e-17,-3.377861894063167e-33,7.032058090113264e-16,-6.107131893848399e-24,1.1986536459043553e-16,1.7743985330990856e-32,1.3120742566990205e-17,1.114945743970291e-17,9.931163379599553e-15,-7.44788413271938e-15,1.984581626745299e-18,-8.864327071699098e-18,1.163645761258015e-30,-5.154025063311577e-16,-1.156037266362785e-16,1.2494629310863165e-17,5.075268069920111e-16,-5.470862411825069e-17,-4.1555446578909338e-16,2.7824547399745133e-16,-1.7693686746506435e-32,-3.7240748929328544e-20,2.3751117340373064e-22,7.190272056427321e-17,-4.703383141783915e-18,0.7148288973375398,8.227791274088942e-102,3.4308238032746796e-16,1.5355785569335641e-18,-1.851251480301624e-30,-1.093246792391495e-17
0.0005,0.37928603717884374,0.0,299.9999999999806,1.1225173843866034,4.116879761217066e-12,1.0010707658506431e-19,2.5894059247670608e-15,0.1901140684402884,-1.5724440582140994e-16,-3.932942819639319e-15,3.2510375142268265e-15,2.949822415373555e-16,-6.953355163460674e-21,5.892337959647789e-35,-2.648761923391246e-20,-1.03744084058474e-27,-1.645051381603444e-15,0.09505703422012562,3.176401995246631e-15,-1.2322166261250722e-16,3.4519883832326263e-20,-1.0193354301862863e-16,9.017878431936806e-29,-1.0551023386492995e-23,-1.9229072346564671e-16,6.6895835233915704e-21,1.7386173319287686e-17,-4.215218871048163e-32,7.03204570058435e-16,-8.349202009812252e-23,1.1986537954161537e-16,1.361349612206577e-31,1.3120742487495199e-17,1.1149457347794806e-17,6.634969548142159e-15,-1.5286260448675589e-16,1.9845845012336175e-18,-8.86432693930708e-18,1.1230375887452594e-29,-5.0798840352682964e-15,-1.1560383650015733e-16,1.2494644248949093e-17,5.064367546448287e-16,-4.823776735074451e-22,-4.1555451610305616e-16,2.7824511964729657e-16,2.60300561121795e-35,-3.7240749420982666e-20,2.3751118458268695e-22,7.190272031783447e-17,-6.109993521633619e-17,0.714828897335463,1.501788903036265e-101,3.4308351922652795e-16,1.5355740007612611e-18,-1.5152727906116465e-28,-1.0932467938179642e-17
0.00075,0.37928603718029313,0.0,299.99999999998477,1.1225173843823135,8.234401757810032e-12,4.141208064211469e-23,3.85059306694983e-15,0.1901140684395121,-2.630173485338635e-17,-4.202050282759738e-15,3.2298966023261143e-15,3.056558945296841e-16,-8.15342764798307e-26,1.644662671868393e-39,-6.062681407976559e-24,-3.1118940414620348e-31,-1.883669148651286e-15,0.09505703421971592,3.1764317592853326e-15,-1.2323405477952722e-16,1.342494285913576e-24,-1.019394452877528e-16,3.0312813884366124e-29,-1.2524342503944982e-23,-1.9229072354104288e-16,4.260171744578803e-26,1.738617321719642e-17,-1.0807665152147769e-32,7.032037521362108e-16,-1.0650806834735609e-22,1.1986533656344564e-16,2.4805839813299106e-31,1.3120742419884713e-17,1.1149457270045038e-17,5.3331589881861984e-15,-6.7046825856722706e-18,1.984591578753084e-18,-8.864326830850351e-18,4.698887979949724e-33,-3.918138368411211e-15,-1.156038874793156e-16,1.2494644505411221e-17,5.064058316736516e-16,-9.074875968713157e-27,-4.155545374681136e-16,2.7824496439877987e-16,8.659733916903145e-40,-3.724074981973122e-20,2.375111944851235e-22,7.190272010434476e-17,-6.110043867024304e-17,0.7148288973325306,1.7682594862547636e-101,3.430842171809142e-16,1.5355722210593337e-18,3.7876108239952353e-28,-1.0932467951257976e-17
0.001,0.37928603718349885,0.0,299.9999999999895,1.1225173843728258,1.7356516118485513e-11,-5.507141826594603e-26,4.847050388232888e-15,0.19011406843779366,-2.1175013155368609e-19,-4.1980111414219284e-15,3.208389434086894e-15,3.1641670770050214e-16,-8.648467977433861e-31,6.084638786130316e-44,-1.4177317750101105e-27,-5.665671998301628e-35,-1.8418563066268392e-15,0.09505703421880762,3.176440382054838e-15,-1.2323404359891043e-16,5.64613583980747e-29,-1.0194056312999445e-16,-3.420330048681422e-31,-1.3161605815571846e-23,-1.922907233863268e-16,2.5483600414821945e-31,1.738617330671966e-17,-2.555525496766039e-34,7.032027853240162e-16,-1.4119310893504264e-22,1.1986524449466367e-16,3.2076344354364877e-31,1.3120742386537313e-17,1.1149457234432986e-17,4.290224017886921e-15,-2.6646340006505937e-19,1.984618414377936e-18,-8.864326730636856e-18,-6.157791414823751e-36,-2.8628029273276636e-15,-1.1560393402902802e-16,1.2494644415358815e-17,5.063961148875293e-16,-1.595562833997844e-31,-4.155545555615383e-16,2.7824483590097094e-16,2.954841941810831e-44,-3.724074999774659e-20,2.3751119969962993e-22,7.190271999790498e-17,-6.110043839028312e-17,0.714828897326034,1.9611077294048498e-101,3.430851587770332e-16,1.5355696428123328e-18,7.938183341055358e-28,-1.0932467952905458e-17
0.0015625,0.379286037204927,0.0,299.9999999999967,1.1225173843094072,7.841944653795716e-11,-7.58469218586171e-26,6.262253826980416e-15,0.1901140684262963,3.514909613482316e-18,-4.090086585244671e-15,3.1592231905266344e-15,3.4107450114030058e-16,-3.8841156532673865e-36,1.5680651060691428e-44,-9.071020296261025e-29,-1.164246147837316e-31,-1.6306801418054956e-15,0.09505703421272767,3.1766037801836154e-15,-1.2323373558635124e-16,2.5881798307759565e-29,-1.0194362673805535e-16,-6.708036338638e-30,-1.4081611865445663e-23,-1.92290718223381e-16,6.575457461099061e-37,1.7386176496210273e-17,2.1377690772955154e-34,7.032001640330952e-16,-1.78861729307108e-22,1.1986485642854198e-16,4.10976544603219e-31,1.3120742370733591e-17,1.1149457197544e-17,2.7569291756598295e-15,-4.5659848061023625e-21,1.984950114677654e-18,-8.864325603622758e-18,-8.508829708667719e-36,-1.3079801634442276e-15,-1.1560401629073773e-16,1.2494643953982954e-17,5.063763357130937e-16,-1.2100689054220804e-36,-4.155545829756956e-16,2.7824463683265307e-16,6.987043145687314e-45,-3.7240749653490487e-20,2.3751121148453284e-22,7.190271989817386e-17,-6.110043719225596e-17,0.7148288972825468,2.1783095570110258e-101,3.4308776420010113e-16,1.5355630272761825e-18,1.4070610122188469e-27,-1.0932467935618593e-17
0.002125,0.37928603728492893,0.0,300.0000000000018,1.1225173840726372,3.0647332572425505e-10,-8.631284251527439e-26,7.119904321851599e-15,0.19011406838336134,4.149989865514499e-18,-3.923066007858756e-15,3.10925670166025e-15,3.661628069883164e-16,-1.668837643269045e-41,9.998635797651027e-45,-6.045777899718392e-29,-1.535124490287139e-31,-1.3884994576575056e-15,0.09505703419002119,3.178443946082952e-15,-1.2322930607632479e-16,3.333226974692804e-29,-1.0194649402748617e-16,-7.962919868894457e-30,-1.5835402982298737e-23,-1.922906371015578e-16,1.6738277869116026e-42,1.7386221148140813e-17,2.93989185586769e-34,7.031974415795299e-16,-2.0170469612451425e-22,1.1986423488740395e-16,4.658115285842211e-31,1.3120742838661697e-17,1.114945717744398e-17,1.7707279597921595e-15,-7.459957097483784e-23,1.9873756973968e-18,-8.864314063647792e-18,-9.682946989658946e-36,-3.081581034146212e-16,-1.1560406803586434e-16,1.2494643554588693e-17,5.063565935745822e-16,2.3205117244449234e-40,-4.1555460195964475e-16,2.782444928410136e-16,4.700717604583846e-45,-3.7240742049255716e-20,2.375113181305217e-22,7.190271989744586e-17,-6.110043607852213e-17,0.7148288971201332,2.2821832739806672e-101,3.4309067758596577e-16,1.535555912886127e-18,1.7900052260711923e-27,-1.0932467715904388e-17
0.00325,0.379286038101239,0.0,300.00000000001705,1.122517381656724,2.633582008622696e-09,-1.552268185646208e-25,7.789456718440568e-15,0.19011406794525287,4.558784504278458e-18,-2.2612062528121055e-15,3.0068574371210507e-15,4.182913104840566e-16,-3.422492498474788e-47,4.221106900693182e-45,-3.290147215724802e-29,-3.0479122775614786e-31,-8.608340098805623e-16,0.09505703395832059,3.2387241080337756e-15,-1.2304179208164887e-16,3.97467342298768e-29,-1.0192581351574747e-16,-8.794808862244418e-30,-2.911732930447246e-23,-1.9228708295726463e-16,2.4525514365504054e-44,1.7388018068050748e-17,3.498955138278126e-34,7.031994747587587e-16,-2.2144190450728793e-22,1.1986496744544594e-16,5.099419501734645e-31,1.3120767593514408e-17,1.1149457158391226e-17,8.3039206581491865e-16,-5.852261904863256e-25,2.038324227972846e-18,-8.86395721642779e-18,-1.741401093824009e-35,6.409812492718116e-16,-1.1560367885946751e-16,1.2494643277510298e-17,5.063171209271416e-16,3.1943717562481224e-40,-4.155546202425789e-16,2.7824425249798016e-16,2.1580377781248853e-45,-3.724041426717319e-20,2.3751575553231233e-22,7.190272282334453e-17,-6.110043419809915e-17,0.7148288954628307,2.5395994461454184e-101,3.430970227764562e-16,1.5355408631992419e-18,2.1187769462782384e-27,-1.0932457246178951e-17
0.0055,0.37928605312863056,0.0,300.0000000006267,1.122517337182365,4.547195437831323e-08,-7.266807761305562e-25,7.83241895419808e-15,0.19011405988038024,4.5910028641299894e-18,7.989657317500615e-14,2.8347763669424285e-15,5.525863774483965e-16,-8.425539904318432e-52,2.367141356079417e-45,-3.7031632691869196e-29,-1.5316297613479983e-30,2.06679215950181e-16,0.09505702969304725,7.0670294812794275e-15,-1.0753791640900201e-16,4.186533201050833e-29,-9.948160194934189e-17,-8.921267795042606e-30,-1.5568382184328457e-22,-1.9198385015259754e-16,2.487586839309528e-44,1.752894450687513e-17,3.642108143874401e-34,7.038685580150668e-16,-2.2778559969439e-22,1.2029283387301441e-16,5.1641028709624605e-31,1.3123168607298275e-17,1.1149458021390367e-17,2.529437109269449e-16,-4.1340848719727246e-27,4.077833541002603e-18,-8.842561230751686e-18,-8.152215281165916e-35,1.2229080657172431e-15,-1.1556816085787325e-16,1.2494664571392385e-17,5.062388178454431e-16,3.5200732909926166e-40,-4.1555360948491747e-16,2.782435404855803e-16,7.405203508847849e-46,-3.7213158059278143e-20,2.378846788176677e-22,7.190298585997601e-17,-6.11004249719964e-17,0.7148288649545171,5.4502941563938526e-101,3.4310998255264924e-16,1.5355428232950122e-18,2.2236893142255704e-27,-1.0931439321937472e-17
0.006625,0.3792861222939625,0.0,300.0000000095265,1.122517132483956,2.4261852345465915e-07,-1.0605857789368582e-24,7.748155220412794e-15,0.19011402276488495,4.543197147569462e-18,1.2713045077656978e-12,3.457356779453082e-15,1.0034056191808706e-15,-3.945634949921122e-52,1.7080903547092284e-45,-4.951831186141797e-29,-2.421159110368211e-30,8.245391964404494e-16,0.09505701006322784,6.784862384930359e-14,2.1293298282815716e-16,4.2390337620985755e-29,-4.756136597684498e-17,-8.804113431060383e-30,-2.5594293680411417e-22,-1.8551757930957806e-16,2.6158833984978645e-44,2.029196906441952e-17,3.6429395470268404e-34,7.177336155825536e-16,-2.271278322780388e-22,1.3050568601744182e-16,5.427019606843642e-31,1.3181242662119468e-17,1.1149487697484916e-17,1.188212332471441e-16,-1.1537908935930705e-27,2.4489806337189196e-17,-8.521826977513342e-18,-1.1898101380629923e-34,1.3613735413969938e-15,-1.1489885171642083e-16,1.249513178232822e-17,5.06209949397683e-16,3.604626615263413e-40,-4.1553033030348284e-16,2.782432515005039e-16,4.233293425939355e-46,-3.66465498709154e-20,2.4555433604672134e-22,7.190856490948032e-17,-6.110038772793018e-17,0.7148287245520086,1.3625606810597213e-100,3.4311636786842546e-16,1.5365292981582685e-18,2.240818788521799e-27,-1.0906611775548801e-17
0.00775,0.37928656990917653,0.0,300.0000001868321,1.122515807745152,1.5180515818769844e-06,-9.871786013555605e-25,8.222454828272601e-15,0.19011378264472256,4.822745647198294e-18,2.4844230750005706e-11,1.911741065062651e-14,9.584005475561637e-15,-2.2617791003526126e-52,4.386251327747442e-46,-6.84829643222119e-29,-3.529845975005091e-30,3.194930246409424e-15,0.09505688305747596,1.374802238431e-12,9.152091737106914e-15,5.66477986381318e-29,1.4193394558525693e-15,-8.593096135208986e-30,-3.5768474231313813e-22,4.86210440034509e-19,4.3093846219884167e-44,9.344240049688466e-17,4.474409367900931e-34,1.0984538433300328e-15,-2.2616946815915495e-22,4.348835338827486e-16,8.929577345486917e-31,1.5073150115231637e-17,1.115050628179978e-17,5.571937333369087e-17,8.1737334043266e-27,3.036793828512978e-16,-2.004292135989512e-18,-1.107456968473952e-34,1.4873770579853595e-15,-9.790800539367912e-17,1.2508351532295308e-17,5.064008999280098e-16,4.598851725387325e-40,-4.1486404212179806e-16,2.782436210514957e-16,4.7034432709933395e-46,-2.0752185336392525e-20,4.607045874695425e-22,7.206557965607447e-17,-6.109984511004505e-17,0.7148278162199457,4.2801794864282087e-100,3.431223964867698e-16,1.5748147610066452e-18,2.7686974234395053e-27,-1.009068271478655e-17
