z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.3822197457193275,0.0,300.0,1.1180839706609802,1.4111806822263444e-12,-9.59745979663208e-16,-8.391863622810534e-16,0.1883239171372129,-7.296367500266714e-16,2.582448445628627e-16,-1.9672872681473093e-16,4.013936148234852e-16,6.15616745358683e-15,-4.6229272573076475e-31,2.8840035297289297e-16,1.30158250391066e-28,2.85929967477405e-16,0.10357815442545859,5.93858356477663e-16,1.1511519393162632e-17,-8.718577515097156e-22,1.1431136409496068e-15,-6.253894361153152e-29,2.124254317483874e-25,2.7186519811715e-16,-7.039069815716139e-16,-1.6898451493132358e-16,1.345962218025569e-33,-1.0903214302133708e-15,-1.1751978507056535e-23,-2.417357954334906e-15,1.3837645268819768e-31,-1.5903914112409486e-17,1.0722847083168322e-15,-1.0191955347095097e-14,2.656839274818116e-15,2.7430094388923536e-18,1.9853413885930182e-17,-1.7082363959408292e-30,-8.847128065914098e-17,2.4105474265384896e-16,3.865128832120537e-18,7.022872654275336e-18,-9.883894986447566e-17,-5.607062594518241e-16,1.3620785063600898e-15,3.6429117997878667e-32,-1.6180409789510892e-19,-9.672436824743948e-21,9.389635287890281e-17,-8.537206072384405e-18,0.7080979284359215,-8.57062449384184e-93,-1.1347892914258148e-15,2.655327163679758e-16,9.555663921323609e-30,1.2059432849913227e-17
0.0005,0.38221974572069706,0.0,300.0000000001168,1.1180839706569679,4.872092158256054e-12,-1.6022617150374773e-19,1.909811003031755e-15,0.18832391713656285,8.156118438146834e-17,2.301508482006853e-15,-2.0636723532540637e-15,4.0360797881574454e-16,3.3453735134431664e-20,-7.0189567073009455e-37,3.0205965476106135e-20,1.1642326680827183e-27,1.6773127620105954e-15,0.10357815442507988,5.864086715098038e-15,1.4419190725768634e-16,-1.2033351460699083e-20,1.1980880753352537e-15,-7.340904212804712e-28,4.170087846403352e-24,2.718652036411072e-16,-2.331938004929375e-21,-1.689845185342289e-16,2.0951686516945307e-32,-1.0903234520759822e-15,-1.407715336608765e-22,-2.0705923971666088e-15,7.89174260688286e-31,-1.5903915670283273e-17,1.0722847060185883e-15,-6.901587732909005e-15,6.125630345340319e-17,2.7430134294533914e-18,1.985341271269154e-17,-1.7823124146000747e-29,-6.336834717434866e-16,2.4105465132196856e-16,3.865152565738249e-18,7.40036294198162e-18,-8.739590932095557e-22,-5.607063032989517e-16,1.3620781795219755e-15,4.4334579549484484e-38,-1.6180409884510203e-19,-9.672436854197366e-21,9.389635270655754e-17,-1.1043810003265868e-16,0.708097928433483,-1.8394534942440667e-92,-1.1347870015042568e-15,2.655326908485181e-16,3.630054800981159e-30,1.2059432548540266e-17
0.00075,0.38221974572242723,0.0,300.0000000001132,1.118083970651906,9.783577554860364e-12,-7.502520481676513e-23,6.045865401290716e-16,0.18832391713564703,1.2716055186344094e-17,2.4423883101165204e-15,-2.0639446499872257e-15,4.036097904814352e-16,3.959901301474263e-25,-6.083494419615809e-40,6.776360476726887e-24,4.7498552180556445e-31,1.588349793275527e-15,0.1035781544245453,5.8641200223715505e-15,1.4420606660198222e-16,-5.099589941371241e-25,1.198092926909766e-15,-2.1436695145430693e-29,7.851883698589466e-24,2.718651979984607e-16,-1.6172545912228813e-26,-1.6898452126419256e-16,2.344374828885301e-33,-1.0903245115288086e-15,-1.3849379419592686e-22,-1.950373075603159e-15,3.992666784979766e-32,-1.590391699798176e-17,1.0722847040978692e-15,-5.5908004992817334e-15,2.971115934954137e-18,2.7430237970306056e-18,1.98534118750366e-17,-8.436718533925914e-33,-1.9020561173454025e-15,2.410546075142521e-16,3.865153692847292e-18,7.408836831308714e-18,-1.6455615304540417e-26,-5.607063133774711e-16,1.3620780927057647e-15,-2.3492730945114656e-41,-1.6180409923705316e-19,-9.672436881087175e-21,9.38963525630713e-17,-1.1043901433121543e-16,0.7080979284300231,-2.3836751599936445e-92,-1.1347858073554472e-15,2.6553267680223563e-16,-4.674648232094996e-30,1.2059432296797236e-17
0.001,0.38221974572628375,0.0,300.0000000001095,1.1180839706406245,2.071412493149405e-11,1.1571227407363262e-26,-4.415473497792169e-16,0.18832391713360708,1.0464694044332065e-18,2.453486580697215e-15,-2.063945146952865e-15,4.036169052415358e-16,4.240966912134254e-30,-4.1672334361184936e-44,7.451898182773231e-28,7.211936938943128e-32,1.438863315503751e-15,0.1035781544233559,5.864127774909139e-15,1.4420607673028337e-16,-2.6395936542328256e-29,1.1980919771659716e-15,-3.7354810268061784e-30,1.1104521464650609e-23,2.718651958381222e-16,-1.0564428101448563e-31,-1.6898452218728214e-16,9.452822111170839e-35,-1.0903256520906456e-15,-1.3037648386434147e-22,-1.8686377939612705e-15,-2.7809587293627375e-31,-1.5903917602014202e-17,1.0722847032044412e-15,-4.532649465378595e-15,1.3157170604589365e-19,2.7430637730981023e-18,1.985341164942788e-17,1.2467740843600516e-36,-2.9756888710691805e-15,2.410545639809535e-16,3.865154378858909e-18,7.40899066562912e-18,-2.8874163182952194e-31,-5.607063164003942e-16,1.3620780450937747e-15,-1.0829540692534525e-44,-1.618040994023974e-19,-9.672436894053346e-21,9.389635249099722e-17,-1.1043901597361517e-16,0.7080979284223231,-2.9007235601191335e-92,-1.1347846323196881e-15,2.6553266464788573e-16,-1.0860548422414097e-29,1.2059432182501812e-17
0.0015625,0.38221974575226497,0.0,300.00000000010266,1.1180839705646222,9.428503335090368e-11,7.824098707723365e-26,-1.974441672857411e-15,0.18832391711987095,-1.075996810820516e-18,2.4244201393971348e-15,-2.063944339007588e-15,4.036177196123643e-16,1.923801310308175e-35,-1.5617996032526946e-44,-4.246336818924839e-28,1.5625351654647264e-31,1.3298581048052918e-15,0.10357815441535038,5.864274915573161e-15,1.4420630133170048e-16,-1.4446954849903868e-29,1.1980900468773088e-15,-3.9999065714475855e-30,1.8517574805990297e-23,2.7186519833431295e-16,-2.9786565063903278e-37,-1.6898451829708297e-16,1.2445514919821894e-36,-1.090328289235255e-15,-1.1753417896192544e-22,-1.8347830513181243e-15,-7.209719384727403e-31,-1.5903918168414452e-17,1.0722847022345454e-15,-2.95577497155601e-15,2.524480735546219e-21,2.743567571434782e-18,1.985341364979563e-17,8.703314951709746e-36,-4.573554428722191e-15,2.4105441672178367e-16,3.8651555678295226e-18,7.408425260837065e-18,-2.1801903310269673e-36,-5.607063095522607e-16,1.362078017304126e-15,1.0759685578377197e-45,-1.618040988157064e-19,-9.672436895774833e-21,9.389635242135629e-17,-1.1043901875563755e-16,0.7080979283704955,-3.840014382445391e-92,-1.1347819664939058e-15,2.6553263891267743e-16,-1.9653625936625526e-29,1.2059432091179268e-17
0.002125,0.38221974584990953,0.0,300.0000000000944,1.118083970278988,3.707197542943978e-10,8.85417594031394e-26,-2.9459482088199252e-15,0.18832391706825388,-1.7077320865581534e-18,2.4125763661022222e-15,-2.0639266839582644e-15,4.036269071911155e-16,8.353523393939247e-41,-1.6172648269919266e-44,-2.757340176808105e-28,1.7483190633765039e-31,1.834964694376298e-15,0.10357815438527034,5.865938968277258e-15,1.4420960390453112e-16,-1.7701024340068148e-29,1.1980884252158742e-15,-3.678262615757752e-30,1.934264405746654e-23,2.7186526955809253e-16,-8.656615879346753e-43,-1.6898444724663508e-16,1.1573773484217805e-36,-1.0903307321839225e-15,-1.081327944836037e-22,-2.0958355707629675e-15,-9.959474866041215e-31,-1.5903917915379197e-17,1.0722847015204319e-15,-1.926944112756921e-15,4.629189604513667e-23,2.7472861747789894e-18,1.9853439389424172e-17,9.849138292563535e-36,-5.6158423075446426e-15,2.410542861456605e-16,3.865156753738785e-18,7.40784154613839e-18,-1.5716927342679583e-40,-5.607063060711721e-16,1.362077960238784e-15,1.1269226725246414e-46,-1.618040877564269e-19,-9.672436750989784e-21,9.389635244541653e-17,-1.1043902142231169e-16,0.7080979281757587,-4.432716972660021e-92,-1.134779305971914e-15,2.6553261394729295e-16,-2.5102718683180707e-29,1.2059432227725914e-17
0.00325,0.38221974685298116,0.0,300.00000000004746,1.118083967344758,3.2103055702625163e-09,1.8564991487201104e-26,-3.811732862259133e-15,0.18832391653802444,-2.229380454663119e-18,3.473800591265027e-15,-2.0633148972372075e-15,4.03931057910578e-16,1.7326365385421103e-46,-1.65989548921879e-44,-1.352161178659704e-28,1.7694311697587864e-32,9.710353432012431e-15,0.10357815407628114,5.920802301523514e-15,1.443504210776583e-16,-2.0373925370392563e-29,1.1981059319970588e-15,-3.2516979524662526e-30,-1.1114067647162679e-23,2.7186844473210624e-16,-5.923096018693061e-44,-1.6898154841571756e-16,-1.4449449714733967e-36,-1.0903263002023805e-15,-7.964639627230765e-23,-5.962821571823759e-15,-1.2321975101323713e-30,-1.590389154677268e-17,1.0722846985951575e-15,-9.24644904614687e-16,4.0736647749598756e-25,2.82595984993675e-18,1.9854248459912963e-17,2.0649643680697107e-36,-6.627037129531221e-15,2.410545709442301e-16,3.86515924137849e-18,7.406684942269033e-18,-1.4624882648492738e-40,-5.607062758234108e-16,1.362077851563718e-15,-1.657711243102307e-45,-1.6180361082834542e-19,-9.672430336790152e-21,9.389635630626068e-17,-1.1043902604347396e-16,0.7080979261753871,-4.900515831279339e-92,-1.1347743903834638e-15,2.6553256487034847e-16,-2.969053252482381e-29,1.2059441125033192e-17
0.0055,0.38221976545542535,0.0,300.0000000000508,1.118083912928154,5.586857629923729e-08,-8.40840298577115e-25,-4.151078033004507e-15,0.1883239067052462,-2.4359056758422367e-18,7.337354015495466e-14,-2.0240442704384036e-15,4.234685168720101e-16,1.796208760670688e-52,-2.934886143894013e-44,-7.946254872052343e-29,-1.7687088439706704e-30,9.487449808907238e-14,0.10357814834623726,9.429160164983216e-15,1.5607311776679229e-16,-2.0938255599511463e-29,1.2001377700994953e-15,-2.873780858697107e-30,-3.073177421069634e-22,2.721413417441885e-16,-6.30096455198042e-44,-1.687526042049166e-16,-2.2985548263031876e-35,-1.0895864756597568e-15,9.148876521196876e-23,-4.854650078832489e-14,-1.3072567413579974e-30,-1.5901317767047443e-17,1.0722846497528638e-15,-2.904614859736199e-16,1.0439889242938542e-27,5.997948827094123e-18,1.99031348097233e-17,-9.353374125148664e-35,-7.265362128090591e-15,2.410970530562337e-16,3.865177379790462e-18,7.40521020708997e-18,-1.4258828222154868e-40,-5.607044537819789e-16,1.3620776328487616e-15,3.3558879291422904e-45,-1.6176370296895276e-19,-9.671894660978064e-21,9.389671554051771e-17,-1.1043902140250868e-16,0.7080978890798229,-5.052214395776527e-92,-1.1347699125347796e-15,2.6553249051389165e-16,-3.090423241000116e-29,1.2060315826165801e-17
0.006625,0.38221985170778966,0.0,300.000000007758,1.118083660619548,2.999968858630659e-07,-1.4747971524196572e-24,-4.118182380484184e-15,0.1883238611195484,-2.4183329724269865e-18,1.1051725560569425e-12,-1.396796782403623e-15,7.372334919650567e-16,3.809304574613094e-58,1.4329470905791964e-44,-8.230318968252168e-29,-3.026317642366091e-30,1.6118245000559975e-13,0.10357812178070243,6.551639908370573e-14,4.000451442178753e-16,-2.0537389771036964e-29,1.243993225236367e-15,-2.7450451577284045e-30,-5.104049422760212e-22,2.7800268281169353e-16,-6.131124630607445e-44,-1.6423221615662653e-16,-3.8281884533146095e-35,-1.0744494401599217e-15,2.101744110592947e-22,-8.155145213783007e-14,-1.2713203698582815e-30,-1.5838655584641892e-17,1.0722844622292992e-15,-1.396725669285811e-16,-8.671930212029227e-28,3.797067564056137e-17,2.0641485626378875e-17,-1.6405388491890507e-34,-7.413842533102125e-15,2.4191090693756437e-16,3.8654670945912895e-18,7.417925947019526e-18,-1.388572545969533e-40,-5.606664674412656e-16,1.3620773133784429e-15,3.27164008954657e-45,-1.609284998593601e-19,-9.660689706356381e-21,9.390446789333107e-17,-1.1043895837120993e-16,0.7080977171016234,-4.864321789766401e-92,-1.134769374310201e-15,2.6553338710399116e-16,-3.0433334444851345e-29,1.2081816134182996e-17
0.00775,0.38222041376699256,0.0,300.00000017022455,1.1180820164660605,1.8904386047238396e-06,-2.2988742658326152e-24,-3.487817362144884e-15,0.18832356413647372,-2.0488022811064105e-18,2.1678336852991968e-11,1.216063873477636e-14,7.560664313275592e-15,1.544089645900031e-62,-7.853530890551684e-45,-1.0072779137292245e-28,-4.5414467595433896e-30,2.5615435782048086e-13,0.10357794870139109,1.2797439141807072e-12,7.251405346953157e-15,-1.7481188727476272e-29,2.4922440817094222e-15,-2.6685940896307718e-30,-2.9450900128818737e-22,4.477964945450235e-16,-2.9183511231277535e-44,-4.3719576310101766e-17,-5.746541308084495e-35,-6.561869592716866e-16,3.532822231878835e-22,-1.2781144016871794e-13,-6.08003923302811e-31,-1.3783342385798029e-17,1.0722844481817146e-15,-6.706662453485225e-17,-3.4678626580832e-27,4.783295247194628e-16,3.5756128942660813e-17,-2.557224502032698e-34,-7.403695874801983e-15,2.627160578816399e-16,3.8736398284348815e-18,7.718565491729188e-18,-1.2973460338454666e-40,-5.595736341418348e-16,1.3620766438699527e-15,-1.6024287930737322e-45,-1.3734155722458296e-19,-9.344287418203109e-21,9.41244316578029e-17,-1.1043814207999286e-16,0.7080965967004241,-3.882151966680246e-92,-1.1347696240291463e-15,2.6557141938841545e-16,-2.7408071784019953e-29,1.279337430416422e-17
