z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.1945129392779473,0.0,300.0,1.13633818081682,2.0304982510445623e-09,-1.3308827068395962e-14,7.959368077753643e-15,0.19569471585122353,-2.1649091628707564e-14,2.5064824422951e-15,-6.811579048675662e-15,2.146352568140204e-14,2.394047561888371e-14,5.363005926030074e-31,-1.4192383441675006e-15,-6.652206523698506e-28,-3.544226689510774e-15,0.06849315054077938,3.380533734737255e-15,-1.0622403687439035e-16,-6.362438539174777e-21,-1.557840960618905e-14,-6.390630479720124e-30,-1.0646334440464293e-23,-2.2939636678541735e-16,-5.456866254062617e-15,5.404484726319833e-19,1.1679028309912283e-33,8.568458588232678e-17,-9.044040537625107e-25,7.24786894236387e-15,-1.0601686129012694e-31,4.614057004980191e-17,1.2860957601942715e-17,2.8333731555526763e-15,6.1997309944218155e-15,4.452355468685308e-18,-1.6272575495202448e-18,-3.703415042448136e-29,1.7425729480993727e-15,3.0138634322784766e-15,9.22027832428982e-18,1.5594685503496592e-15,-3.2530790558934485e-16,-8.660341359459158e-15,7.186218812891257e-15,-6.385463737201006e-32,1.0595998908411455e-19,2.811325505588195e-21,-2.967179835844016e-17,-5.522456078992858e-17,0.7358121315774867,3.564729570070713e-112,6.37195540920878e-17,-1.4569183305645873e-17,-7.477013858870033e-29,4.874481750986887e-17
0.0005,0.1945129397335585,0.0,300.00000000034345,1.1363381781551551,4.557513845966935e-09,-1.840599849736622e-18,3.169636739102446e-14,0.19569471536407199,-5.569411654190267e-16,1.3252841232054462e-14,-3.863820300012318e-14,2.1457788770410586e-14,6.987919406919719e-20,-1.712323923678118e-33,-8.054560365021094e-20,-3.46586341926164e-27,-1.473923776938053e-14,0.06849315036137416,1.9208240024466066e-14,-7.58309517994501e-16,-4.555502107502657e-20,-1.5852513866252996e-14,-4.648976086131969e-29,-7.730284282484361e-23,-2.2932857457112076e-16,-8.827993893961159e-21,5.492000148076469e-19,8.02262533010494e-33,8.588100954125608e-17,-6.809109023779954e-24,5.122385992903208e-15,-5.130195266459987e-31,4.6141611467919684e-17,1.286095766260032e-17,1.496957779417518e-15,7.193857373978237e-17,4.49427637377764e-18,-1.6267660061628868e-18,-2.1189606628281436e-28,9.962052497733012e-15,3.01386759012156e-15,9.220310807376544e-18,1.5602876001027481e-15,-1.5021800986008062e-21,-8.6603410292673e-15,7.186220123412465e-15,-7.495165176181869e-34,1.0596234653825093e-19,2.8113502163756674e-21,-2.967177572544022e-17,-3.946011266038792e-16,0.7358121297170058,5.5587524710808e-112,6.371971708824904e-17,-1.4569173502353238e-17,-6.163324898298921e-28,4.874525553430246e-17
0.001,0.19451294075629502,0.0,300.000000001282,1.1363381721803627,1.0229474037373176e-08,-1.922447171085881e-22,3.174900255068951e-14,0.19569471427062668,2.023096600898178e-18,1.5373504424988747e-13,-3.860560360960126e-14,2.1503655669768674e-14,1.8509443488417203e-25,-4.187879306751603e-39,-4.233823643267337e-24,-1.990956373896621e-30,-1.3372423925743745e-14,0.06849314995861645,2.4638584956962398e-14,-6.762384589279483e-16,-4.258741347402134e-25,-1.5845829186827506e-14,-8.850582723893945e-31,-2.2562739955118067e-22,-2.288301307579846e-16,-1.3468047462642198e-26,6.088500607495384e-19,1.476699500053844e-34,8.726419482406432e-17,-6.940724990498004e-24,4.74498944787816e-15,-8.469949440649315e-31,4.6150162826132154e-17,1.2860959215012218e-17,7.852659195593336e-16,7.53492923746814e-19,4.657415234084274e-18,-1.624109419930067e-18,-2.2383298369735462e-32,1.0774186226227511e-14,3.0138957595547246e-15,9.220602085978907e-18,1.5601901317316769e-15,-6.468137658833617e-27,-8.660340396379879e-15,7.186221364333149e-15,-5.4688023954285224e-39,1.0597927775157435e-19,2.8115275139099552e-21,-2.9671619524907184e-17,-3.9460261054501696e-16,0.7358121255411009,7.480001162469148e-112,6.371990049511542e-17,-1.4569064436230065e-17,-8.048412416259633e-28,4.8748882676364524e-17
0.002125,0.19451294771814664,0.0,300.00000001827914,1.136338131509458,4.8800559595288035e-08,6.06520981653931e-25,3.085582750024589e-14,0.19569470683457135,1.789815293688525e-17,2.668055557020296e-12,-3.7918463307628746e-14,2.2400746309522904e-14,2.080246057829316e-31,-3.8855465908271533e-44,-7.469176396282914e-29,1.181711287371086e-30,-1.8233001509646855e-14,0.06849314721889058,1.298099894948302e-13,1.3528189061855828e-15,-5.06368606144536e-29,-1.567851822595112e-14,-1.6903537224165154e-31,-4.327277624682813e-22,-2.1615988408771721e-16,-8.886774070774654e-33,2.0112384903810837e-18,-1.3270304745340735e-34,1.209078651324413e-16,-6.965644769324711e-24,8.58047409458498e-15,-9.889985971777188e-31,4.639486008148645e-17,1.2861006444488106e-17,2.531864655468439e-16,3.3548199405130646e-21,6.749263046721941e-18,-1.5753600082964153e-18,6.981331467552554e-35,1.13212497414026e-14,3.0145391275960166e-15,9.22816614096072e-18,1.5599496279052413e-15,-1.1979670090496668e-32,-8.660332369582261e-15,7.18622149552748e-15,-3.1488570472142657e-44,1.0639993390794973e-19,2.8159323180962526e-21,-2.9667715998128375e-17,-3.9460242556610857e-16,0.735812097143175,1.141757772878759e-111,6.37203538671216e-17,-1.456537078892026e-17,-9.43666392674182e-28,4.885355746103597e-17
0.00325,0.19451297425103997,0.0,300.0000002000942,1.1363379765052086,1.953780259101689e-07,6.115046277678908e-25,2.9675802360902846e-14,0.19569467857265005,1.743123021330788e-17,2.939236094290426e-11,-3.000776989886038e-14,3.279743088227171e-14,2.2417666345392436e-37,-1.8095376050295854e-44,1.3472329651173097e-29,8.03051354531929e-31,-2.6051166711540683e-14,0.06849313679821045,1.342827675849258e-12,3.1429160130663283e-14,-3.9794992489083065e-29,-1.3171061608023352e-14,-1.6162823412367774e-31,-5.314240844767531e-22,-2.2836136811933135e-17,-5.723674056812367e-39,2.1761372113468095e-17,-1.0437272106253033e-34,6.11499638063052e-16,-6.720725429095093e-24,1.442124857207782e-14,-8.068064072096062e-31,5.060962443814572e-17,1.2861826695644694e-17,8.07041534262123e-17,1.427118968306505e-23,2.2451012244436676e-17,-1.043611663627753e-18,7.039852488572299e-35,1.1505139255663123e-14,3.023259266717505e-15,9.341858914533224e-18,1.5597339507612666e-15,-5.047379887941427e-38,-8.6602180792797e-15,7.186220436030148e-15,-6.396018179449116e-45,1.126694667194043e-19,2.8815827757963708e-21,-2.9609259288463444e-17,-3.9460194775151335e-16,0.7358119892203243,1.4116300869036134e-111,6.372079974735535e-17,-1.4491036767820224e-17,-7.450338040709338e-28,5.067222407703478e-17
0.0055,0.19451325267401162,0.0,300.0000058668748,1.1363363499703356,1.71986636857012e-06,2.1198581518815225e-24,2.753551942257817e-14,0.195694384512365,1.61789065102159e-17,8.552068985446357e-10,2.1068576729901301e-13,3.9630804105338634e-13,1.2079166515096594e-43,5.122967191323594e-44,6.022877198192816e-30,3.7998873014395395e-37,-1.4976391502789784e-14,0.06849302812934134,4.2101616206828994e-11,1.3388001952672922e-12,4.090396949449508e-28,9.70528901832486e-14,9.78722702143073e-31,-1.846501980715797e-22,8.63309766450095e-15,3.28701602536765e-43,8.364467999754997e-16,1.760805720819474e-33,2.1582092713058204e-14,-8.257048217287953e-24,3.0377977398157773e-14,6.835294187909752e-30,2.6418437508725525e-16,1.2903459479853988e-17,1.5172787491084567e-17,5.96971899097051e-26,3.6032884829393283e-16,1.5825167627529252e-17,2.4404529641990645e-34,1.1831704118436225e-14,3.368651630247929e-15,1.4334248937309213e-17,1.5601714311716977e-15,-2.7481866186897044e-38,-8.655172255311965e-15,7.186211262278812e-15,1.4750865442153234e-44,3.8672491086826744e-19,5.75131991882961e-21,-2.7050522425667694e-17,-3.945919764379479e-16,0.7358108665924841,1.531476621829522e-111,6.372150457513191e-17,-1.0082330958814921e-17,1.0625540858796234e-26,1.4364789319967457e-16
0.006625,0.19451399584167,0.0,300.00005003869364,1.13633200844004,5.683744872530694e-06,7.790857882258767e-24,2.8195355671480803e-14,0.1956936189085126,1.658367112144802e-17,7.235164884848099e-09,2.2178099274203234e-12,3.4709377222447757e-12,1.3575670396636478e-49,9.355703668412956e-44,1.0270383223103198e-28,4.90262523542213e-36,3.395610296035732e-14,0.06849274339690974,3.844867899134659e-10,1.5546122205139e-11,5.382114283647859e-27,1.308362871546748e-12,1.3947313403148482e-29,1.8050297497291705e-20,1.0552382470517515e-13,4.2154941658451e-42,9.237803102208834e-15,2.220167344365537e-32,2.4568133545736475e-13,5.632612729638226e-24,2.1491826445462424e-13,8.711996919987975e-29,2.96979714865796e-15,1.3431047539580626e-17,4.892762460453318e-18,1.775618744426843e-25,2.177994885901816e-15,1.4958985843753903e-16,8.969070141316105e-34,1.4037639883928764e-14,6.7883503494878596e-15,6.912328132239127e-17,1.5677278601353675e-15,-2.827437312915005e-38,-8.599046151360928e-15,7.186198499482236e-15,-2.1553224681686298e-43,3.3816131564073388e-18,3.711193547950196e-20,9.269906582094786e-19,-3.9450657174051766e-16,0.7358079463068455,1.1467302481226149e-111,6.372127437824242e-17,5.5284297801750425e-17,1.354855001961068e-25,1.331942631363553e-15
0.00775,0.19451701990467013,0.0,300.000523832741,1.136314342430605,2.074710653377421e-05,6.657977260938959e-23,4.198815568464035e-14,0.1956906982535262,2.645928026610703e-17,7.508076439129439e-08,2.532637084488846e-11,3.910689446084079e-11,-9.47297467847221e-54,-6.500126958516062e-42,2.8273735303753088e-27,1.7876677084488712e-29,5.320638162003309e-13,0.06849163939885104,4.333435736103509e-09,2.2613709640570044e-10,1.1734936670662212e-25,1.946099612795286e-11,3.152473457084894e-28,2.644771694939339e-18,1.5838822100083028e-12,9.35580607962367e-41,1.2755508029371817e-13,5.161563481449001e-31,3.5134359356586512e-12,1.651339907948161e-22,3.1219925380066622e-12,1.8056371169340982e-27,4.9571805457079584e-14,2.251893240275386e-17,1.5799943847334224e-18,1.899518368489618e-24,1.5821784751362724e-14,1.6084026908352676e-15,7.664920644544949e-33,3.9540207718636686e-14,5.30720558781793e-14,8.890798559834375e-16,1.6578351180184767e-15,-4.229695385460391e-38,-7.746705479621823e-15,7.186303549980962e-15,-1.650578027669378e-42,4.801731619399769e-17,5.045094524715922e-19,4.1793658528822933e-16,-3.93291850896364e-16,0.7357968355077515,-6.218662505046265e-112,6.372852537957746e-17,1.3692981141223914e-15,2.9062587595634856e-24,2.1977575649411255e-14
0.0083125,0.19452251150906102,0.0,300.0024886873095,1.1362822629111597,4.409593482121011e-05,4.950545418763403e-22,8.854548977746331e-14,0.19568612259456936,1.0172451681825057e-16,3.5411454146704406e-07,1.2801709116614201e-10,1.9843060969283779e-10,1.1562399372972985e-53,-1.8841618679602603e-41,4.592512268258296e-26,5.153222652690442e-28,2.657614896138244e-12,0.0684898423422898,2.1906563633664076e-08,1.4230223279197278e-09,1.5802259882871736e-24,1.237413529798781e-10,4.600100887811354e-27,7.201145935997155e-17,1.0227385254088669e-11,2.159315593691823e-39,7.671923414969684e-13,1.234721512091782e-29,2.1790299523250785e-11,8.448454612171602e-22,2.0598156393217598e-11,2.2906671403098302e-26,3.5639973668773497e-13,8.23544869367477e-17,7.866453967609515e-19,1.4232445483766765e-23,5.593316981382802e-14,7.755169687156259e-15,5.699626983202436e-32,1.5380269079667708e-13,2.9376072912380486e-13,5.593234972164856e-15,2.061363259604626e-15,-8.791650328016941e-38,-2.7847576413713285e-15,7.187345807334842e-15,-2.590251986134464e-41,3.0306258833482203e-16,3.175186137631755e-18,2.8007461094848643e-15,-3.8645209562149437e-16,0.7357795611768206,-2.710138744153971e-111,6.385941450156313e-17,1.1438925768865098e-14,3.808680165806998e-23,1.5906963026375854e-13
0.008875000000000001,0.19454013800927103,0.0,300.0140065523976,1.1361793089437184,0.00010013185737412758,9.103879496189683e-21,2.983751790140395e-13,0.1956748535453204,1.8503738483862405e-15,1.977187051384304e-06,7.707152583914392e-10,1.201228438961066e-09,-1.6665665477310007e-54,-1.6662692198978011e-40,2.081281108547422e-24,5.448057363654272e-26,1.5123976947407353e-11,0.06848506840913042,1.3202864907386497e-07,1.0891481735500234e-08,4.7244007793949605e-23,9.57192413770631e-10,2.0460259153663935e-25,2.4569967880945085e-15,8.048639714872908e-11,2.8632467376117723e-37,5.590798199408016e-12,1.667143811636156e-27,1.6417512394094421e-10,5.743940476445055e-21,1.6693667087004984e-10,5.707782928442237e-25,3.152085304678983e-12,6.2755238187099355e-16,3.968457855191908e-19,1.95796353773031e-22,2.265300750402586e-13,4.4336941907273684e-14,1.048605682754302e-30,8.745691770240874e-13,2.0427458674939293e-12,4.314370749748424e-14,4.599756103619813e-15,-2.1782993143545573e-37,3.738520939069234e-14,7.196729850193473e-15,4.5392764735433074e-41,2.3310661213051737e-15,2.4411187753447728e-17,2.1747822112321152e-14,-3.324035509696045e-16,0.735737822711248,-4.690921505326477e-111,6.548473937941404e-17,1.1767879685719153e-13,9.693439229048609e-22,1.4184732164967006e-12
